iter	Passed	Remaining
766	2053	623
767	2055	620
768	2057	618
769	2060	615
770	2062	612
771	2065	609
772	2067	607
773	2070	604
774	2072	601
775	2075	599
776	2077	596
777	2080	593
778	2082	590
779	2085	588
780	2087	585
781	2090	582
782	2092	579
783	2094	577
784	2097	574
785	2099	571
786	2102	569
787	2104	566
788	2107	563
789	2109	560
790	2112	558
791	2114	555
792	2117	552
793	2120	550
794	2122	547
795	2125	544
796	2127	541
797	2130	539
798	2132	536
799	2135	533
800	2137	531
801	2140	528
802	2142	525
803	2144	522
804	2147	520
805	2149	517
806	2152	514
807	2154	512
808	2157	509
809	2159	506
810	2161	503
811	2164	501
812	2167	498
813	2169	495
814	2172	493
815	2174	490
816	2176	487
817	2179	484
818	2181	482
819	2184	479
820	2186	476
821	2189	474
822	2191	471
823	2193	468
824	2196	465
825	2198	463
826	2201	460
827	2203	457
828	2205	455
829	2208	452
830	2210	449
831	2213	446
832	2215	444
833	2218	441
834	2220	438
835	2222	436
836	2224	433
837	2227	430
838	2230	427
839	2232	425
840	2235	422
841	2238	420
842	2241	417
843	2243	414
844	2246	412
845	2248	409
846	2251	406
847	2253	403
848	2256	401
849	2258	398
850	2261	395
851	2264	393
852	2266	390
853	2268	387
854	2271	385
855	2273	382
856	2276	379
857	2278	377
858	2280	374
859	2283	371
860	2285	369
861	2287	366
862	2291	363
863	2293	361
864	2295	358
865	2298	355
866	2301	352
867	2303	350
868	2305	347
869	2308	344
870	2311	342
871	2313	339
872	2315	336
873	2317	334
874	2320	331
875	2323	328
876	2325	326
877	2327	323
878	2331	320
879	2333	318
880	2336	315
881	2339	313
882	2342	310
883	2344	307
884	2346	304
885	2349	302
886	2352	299
887	2354	296
888	2357	294
889	2360	291
890	2362	289
891	2364	286
892	2367	283
893	2370	281
894	2372	278
895	2375	275
896	2378	273
897	2380	270
898	2382	267
899	2385	265
900	2387	262
901	2390	259
902	2392	257
903	2395	254
904	2397	251
905	2399	249
906	2402	246
907	2404	243
908	2407	240
909	2409	238
910	2411	235
911	2414	232
912	2416	230
913	2419	227
914	2421	224
915	2423	222
916	2426	219
917	2428	216
918	2431	214
919	2433	211
920	2436	208
921	2438	206
922	2441	203
923	2443	200
924	2445	198
925	2448	195
926	2450	193
927	2453	190
928	2455	187
929	2458	185
930	2460	182
931	2463	179
932	2465	177
933	2467	174
934	2470	171
935	2472	169
936	2475	166
937	2477	163
938	2479	161
939	2482	158
940	2484	155
941	2487	153
942	2489	150
943	2492	147
944	2494	145
945	2497	142
946	2499	139
947	2502	137
948	2504	134
949	2506	131
950	2509	129
951	2511	126
952	2514	124
953	2517	121
954	2519	118
955	2521	116
956	2524	113
957	2526	110
958	2529	108
959	2531	105
960	2534	102
961	2536	100
962	2538	97
963	2541	94
964	2543	92
965	2546	89
966	2548	86
967	2551	84
968	2553	81
969	2555	79
970	2557	76
971	2560	73
972	2562	71
973	2565	68
974	2567	65
975	2570	63
976	2572	60
977	2574	57
978	2577	55
979	2579	52
980	2582	50
981	2584	47
982	2586	44
983	2589	42
984	2591	39
985	2594	36
986	2597	34
987	2599	31
988	2601	28
989	2604	26
990	2606	23
991	2609	21
992	2611	18
993	2614	15
994	2616	13
995	2619	10
996	2621	7
997	2624	5
998	2627	2
999	2629	0
